id,Name,icon,recipes_to_try_,weekly_flyer,recipes_to_try_out_,weekly_flyers,region,recommended,photo-url,ordering-url,flyer-url,notes
,Jian Hing Foodmart ,,,https://jianhing.com/special.php,Mongolian Beef https://thewoksoflife.com/mongolian-beef-recipe/,,Asia-wide Supermarkets,false,https://,https://,https://jianhing.com/special.php,Has a hot foods section. 
,Kohinoor Foods (Indian/Pakistan),,Lamb Kheema Samosa (Samosa Stuffed With Spiced Ground Lamb) https://www.seriouseats.com/kheema-samosa-5205060,,,None,Indian/pakistani,false,https://,https://,,Has a rewards program.
